cpu; memoria;
4.200000; 19.200000;
9.900000; 19.200000;
11.600000; 19.000000;
9.500000; 19.100000;
10.200000; 19.100000;
9.800000; 19.100000;
9.600000; 19.100000;
10.100000; 19.100000;
10.900000; 19.100000;
11.500000; 19.100000;
11.600000; 19.100000;
7.800000; 19.100000;
8.500000; 19.100000;
8.900000; 19.100000;
13.000000; 19.200000;
9.400000; 19.100000;
9.300000; 19.100000;
9.800000; 19.200000;
9.600000; 19.200000;
9.800000; 19.100000;
9.200000; 19.100000;
9.700000; 19.100000;
9.700000; 19.100000;
10.000000; 19.100000;
5.000000; 19.100000;
10.400000; 19.100000;
9.800000; 19.200000;
9.200000; 19.100000;
10.400000; 19.100000;
11.500000; 19.100000;
10.700000; 19.100000;
10.600000; 19.200000;
10.900000; 19.100000;
10.500000; 19.100000;
10.900000; 19.000000;
12.300000; 19.000000;
10.800000; 19.000000;
10.400000; 19.100000;
10.300000; 19.100000;
10.700000; 19.100000;
10.400000; 19.100000;
10.200000; 19.000000;
10.000000; 19.000000;
10.400000; 19.000000;
9.800000; 19.000000;
10.800000; 19.100000;
10.300000; 19.000000;
5.400000; 19.000000;
9.600000; 19.000000;
12.400000; 19.000000;
10.000000; 19.000000;
10.700000; 19.000000;
10.100000; 19.100000;
10.200000; 19.100000;
10.800000; 19.100000;
10.000000; 19.000000;
10.100000; 19.100000;
11.200000; 19.100000;
11.200000; 19.100000;
11.200000; 19.200000;
10.700000; 19.200000;
10.500000; 19.200000;
10.700000; 19.200000;
11.500000; 19.200000;
11.200000; 19.200000;
8.600000; 19.200000;
10.300000; 19.100000;
5.200000; 19.100000;
11.500000; 19.200000;
10.900000; 19.100000;
12.200000; 19.100000;
12.100000; 19.200000;
12.400000; 19.100000;
9.800000; 19.100000;
10.100000; 19.100000;
10.000000; 19.100000;
11.200000; 19.100000;
9.600000; 19.100000;
10.400000; 19.100000;
11.400000; 19.100000;
10.200000; 19.100000;
9.900000; 19.100000;
11.000000; 19.100000;
11.600000; 19.100000;
6.100000; 19.100000;
9.800000; 19.100000;
11.600000; 19.100000;
10.400000; 19.100000;
11.100000; 19.100000;
9.600000; 19.200000;
10.200000; 19.100000;
12.400000; 19.200000;
10.200000; 19.100000;
9.000000; 19.100000;
11.000000; 19.100000;
10.200000; 19.100000;
10.900000; 19.200000;
12.000000; 19.000000;
11.300000; 19.000000;
11.300000; 19.100000;
11.400000; 19.200000;
9.800000; 19.100000;
10.300000; 19.200000;
10.100000; 19.200000;
10.200000; 19.200000;
